description,details,money,pub_name
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.60
/word",glamour
"1000 word opinion, editorial, column or essay",,"$2.50
/word",glamour
"900 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",global comment
"opinion, editorial, column or essay",,"$50
flat",global comment
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",global post
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.27
/word",global post
~4 word,,"$250.00
/word",global post
800 word feature,,"$0.63
/word",global post
"1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",globalo
800 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",globein blog
"~750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",gloholiday
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",gluten free living
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",gnome magazine
1120 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.03
/word",go world travel
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",good housekeeping
800 word,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",good magazine
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.42
/word",good magazine
"1000 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.30
/word",good magazine
2000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",good magazine
700 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.00
/word",good magazine
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.67
/word",good magazine project literacy series
2000 word,,"$0.25
/word",gothamist
1100 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.36
/word",gothamist
500 word blog post,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.40
/word",gothamist
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",gothamist
news story,,"$50
flat",gothamist
feature,,"$250
flat",gothamist
"1712 word opinion, editorial, column or essay",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.18
/word",gq
750 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",gq
500 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",gq
200 word fob,Medium reporting; Assignment (editor came to you),"$2.00
/word",gq
400 word,,"$2.00
/word",gq
1275 word,,"$0.06
/word",gradient
800 word,,"$0.03
/word",grammarly blog
1800 word,,"$0.33
/word",granta
feature,,,granta
,,,granta
4000 word feature,,"$0.25
/word",grantland
1000 word blog post,,"$0.25
/word",grantland
1100 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",greatist
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.20
/word",greatist
1000 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",green parent
~3000 word feature,Little to no reporting; Assignment (editor came to you),"$0.05
/word",green parent
~750 word news story,Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.13
/word",greentech media
~125 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.24
/word",grist
~750 word news story,Medium reporting,"$0.27
/word",grist
,,"$275
flat",grist
884 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",groknation
1000 word other,Little to no reporting; Assignment (editor came to you),"$0.45
/word",guardian labs
,,,guernica
,,,guernica
700 word,,"$0.29
/word",guidepostsorg
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.27
/word",guidepostsorg
"2500 word criticism, review, or arts/entertainment coverage",Medium reporting; Assignment (editor came to you),"$0.20
/word",gulf coast magazine
,,,gulf coast magazine
1000 word profile or interview,Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",guts canadian feminist magazine
1000 word,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.03
/word",guts canadian feminist magazine
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.03
/word",guts canadian feminist magazine
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.60
/word",hakai magazine
"620 word opinion, editorial, column or essay",Cold pitch (no pre existing relationship),"$0.60
/word",hakai magazine
"350 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.57
/word",hakai magazine
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.80
/word",happenmagcom
800 word blog post,Little to no reporting; Assignment (editor came to you),"$0.04
/word",harlem bee
5000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",harpers
2000 word blog post,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.25
/word",harpers
"criticism, review, or arts/entertainment converage",,,harpers
750 word,,"$0.08
/word",hartford courant
"800 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.63
/word",harvard magazine
1200 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.35
/word",hawaii building industry
,,,haydens ferry review
"1900 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",hazlitt
3300 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.24
/word",hazlitt
2500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",hazlitt
2150 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.28
/word",hazlitt
750 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",headspace
806 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.31
/word",headspace
800 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.01
/word",headstufforg
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",healing lifestyles  spas
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",healio
1000 word news story,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.05
/word",healthline
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",healthline
1069 word other,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.11
/word",healthline
800 word blog post,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",healthyplace
"1200 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",hello giggles
"1200 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",hello giggles
"1200 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",hello giggles
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",hello giggles
715 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",hello giggles
500 word feature,Medium reporting; Assignment (editor came to you),"$0.06
/word",hello giggles
1200 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",hello giggles
"600 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",hello giggles
250 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",hello giggles
800 word,,"$0.05
/word",hello giggles
615 word,,"$0.07
/word",hello giggles
"700 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",hello giggles
"1227 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",hello giggles
"1657 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",hello giggles
"1130 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",hello giggles
"813 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",hello giggles
"1186 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",hello giggles
1032 word,,"$0.02
/word",hello giggles
"600 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.04
/word",hello giggles
